# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
pm sp,10,"2,00","20,00%","25,00%",00:06:06,"2,70"
POLICIA CIVIL RJ,10,"2,10","50,00%","0,00%",00:07:57,"1,60"
portugues,10,"3,20","10,00%","9,38%",00:18:08,"8,60"
previstos,10,"2,50","40,00%","8,00%",00:07:08,"4,90"
radiologia,10,"2,80","40,00%","17,86%",00:01:11,"1,30"
São Gonçalo,10,"2,70","10,00%","14,81%",00:01:34,"2,00"
Sefaz,10,"2,90","60,00%","3,45%",00:01:50,"3,30"
Silva jardim,10,"2,10","20,00%","4,76%",00:06:29,"2,60"
tecnico necropsia,10,"3,90","0,00%","15,38%",00:03:33,"7,10"
TJ-CE,10,"1,70","40,00%","23,53%",00:02:24,"0,70"
Trabalho,10,"2,70","60,00%","3,70%",00:03:14,"2,10"
ufpe,10,"2,70","10,00%","0,00%",00:02:52,"4,40"
uni rio,10,"2,20","0,00%","9,09%",00:11:30,"13,60"
Administrativo,9,"3,22","22,22%","13,79%",00:03:59,"2,89"
agente administrativo,9,"3,22","11,11%","0,00%",00:01:49,"5,22"
Agente educador 2,9,"3,00","22,22%","0,00%",00:01:57,"1,22"
Anvisa,9,"2,44","33,33%","9,09%",00:05:27,"5,33"
Areal,9,"1,78","33,33%","18,75%",00:04:59,"2,00"
assistente administrativo,9,"3,33","11,11%","16,67%",00:07:24,"7,56"
Auxiliar de Necropsia,9,"4,78","0,00%","11,63%",00:08:20,"11,89"
Auxiliar de promotoria,9,"2,11","55,56%","0,00%",00:05:26,"2,67"
auxiliar técnico de educação,9,"1,89","33,33%","0,00%",00:02:34,"1,33"
bahia,9,"2,00","44,44%","0,00%",00:06:45,"7,89"
Banco do Brasil,9,"2,44","44,44%","9,09%",00:01:02,"1,56"
brb,9,"2,33","11,11%","4,76%",00:05:07,"7,44"
Concurso prefeitura Rio saude,9,"1,33","88,89%","0,00%",00:00:21,"0,67"
Concurso público,9,"3,33","44,44%","3,33%",00:03:19,"3,67"
Defensor,9,"2,44","55,56%","18,18%",00:00:46,"0,56"
dentista,9,"1,89","22,22%","17,65%",00:00:30,"1,44"
Diplomata,9,"2,44","33,33%","0,00%",00:03:39,"1,78"
Dpe,9,"1,22","0,00%","0,00%",00:00:50,"1,67"
DPU,9,"1,67","11,11%","13,33%",00:03:41,"4,44"
educador,9,"1,78","22,22%","18,75%",00:05:46,"2,89"
emprego,9,"2,78","66,67%","0,00%",00:00:16,"1,00"
epcar,9,"3,56","11,11%","3,12%",00:04:05,"24,67"
Exército,9,"4,00","11,11%","0,00%",00:03:34,"3,67"
Fiscal,9,"4,00","22,22%","5,56%",00:05:01,"5,44"
governador valadares,9,"1,89","44,44%","11,76%",00:03:18,"0,67"
guarda,9,"1,89","22,22%","11,76%",00:06:09,"4,78"
IBAMA,9,"3,33","11,11%","20,00%",00:06:50,"6,00"
Médico,9,"3,44","55,56%","6,45%",00:02:40,"5,33"
militar,9,"3,56","11,11%","12,50%",00:08:21,"9,56"
niteroi,9,"2,00","11,11%","27,78%",00:02:37,"3,22"
Pc-rj,9,"2,44","22,22%","9,09%",00:05:20,"2,56"
Petrobras,9,"2,00","88,89%","0,00%",00:04:23,"3,11"
Polícia civil Rj,9,"2,22","33,33%","0,00%",00:03:55,"4,22"
Polícia Federal,9,"2,00","44,44%","5,56%",00:01:07,"1,44"
Polícia militar,9,"2,78","22,22%","16,00%",00:05:03,"1,56"
Português,9,"3,33","22,22%","3,33%",00:05:46,"7,78"
Psicologo,9,"4,22","44,44%","2,63%",00:03:24,"4,67"
resultado agente educador,9,"2,44","44,44%","18,18%",00:02:20,"0,89"
