# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
"DPE,RJ",1,"1,00","0,00%","100,00%",00:00:11,"0,00"
DPE/RJ,1,"4,00","0,00%","0,00%",00:00:30,"2,00"
dpem,1,"4,00","0,00%","25,00%",00:00:31,"0,00"
Dperj,1,"2,00","0,00%","0,00%",00:27:25,"8,00"
DPERJ,1,"4,00","0,00%","50,00%",00:00:56,"0,00"
DPF,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
DPRJ,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
Duas Barras,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Duruteu,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Duwu,1,"2,00","0,00%","0,00%",00:10:51,"1,00"
e,1,"1,00","0,00%","100,00%",00:00:10,"0,00"
e Venâncio Aires,1,"2,00","0,00%","0,00%",00:00:54,"4,00"
E-mail Como Vistar o cartão resposta,1,"4,00","0,00%","0,00%",00:03:11,"5,00"
Eaer,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
Eags,1,"5,00","0,00%","0,00%",00:02:20,"7,00"
Eberser,1,"2,00","0,00%","50,00%",00:01:45,"0,00"
ebeserh,1,"2,00","0,00%","50,00%",00:00:11,"0,00"
Ebeserh,1,"1,00","0,00%","0,00%",00:01:13,"3,00"
ebheser,1,"2,00","0,00%","0,00%",00:00:08,"1,00"
EbSerh,1,"3,00","0,00%","0,00%",00:00:29,"1,00"
Ebserh 2018,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
EBSERH 2019,1,"2,00","0,00%","0,00%",00:14:39,"4,00"
Ebserv,1,"1,00","0,00%","100,00%",00:00:24,"0,00"
Eca,1,"3,00","0,00%","0,00%",00:02:18,"11,00"
ÉCNICO DE ASSUNTOS EDUCACIONAIS,1,"1,00","0,00%","0,00%",00:00:44,"2,00"
economia,1,"4,00","0,00%","50,00%",00:00:26,"0,00"
economista,1,"3,00","0,00%","33,33%",00:00:36,"2,00"
ECONOMISTA,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
edcação,1,"2,00","0,00%","50,00%",00:01:02,"0,00"
Edição de áudio,1,"2,00","0,00%","50,00%",00:00:06,"0,00"
Edição de hoje,1,"2,00","0,00%","0,00%",00:00:59,"4,00"
Edição digital,1,"2,00","0,00%","0,00%",00:01:15,"6,00"
Edições digitais,1,"2,00","0,00%","50,00%",00:00:42,"2,00"
Edições digital,1,"4,00","0,00%","0,00%",00:02:52,"15,00"
edificação,1,"11,00","0,00%","9,09%",00:04:27,"18,00"
Edilene santos de jesus,1,"4,00","100,00%","0,00%",00:01:19,"0,00"
Editais,1,"4,00","0,00%","0,00%",00:14:35,"8,00"
Editais abertos,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
editais mp ce,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital 056/05,1,"3,00","100,00%","0,00%",00:00:42,"0,00"
edital 2002,1,"2,00","0,00%","0,00%",00:06:41,"17,00"
Edital 2005 araucária,1,"4,00","0,00%","25,00%",00:02:06,"2,00"
edital 2009,1,"1,00","0,00%","0,00%",00:03:10,"5,00"
Edital 2014,1,"1,00","0,00%","0,00%",00:00:23,"2,00"
Edital 2019 cabo frio (prefeitura),1,"2,00","0,00%","0,00%",00:05:15,"12,00"
edital agente educador,1,"2,00","0,00%","0,00%",00:00:30,"1,00"
Edital Agente educador,1,"2,00","0,00%","0,00%",00:01:22,"2,00"
Edital agente educador 2 rj,1,"5,00","100,00%","0,00%",00:01:15,"0,00"
edital agente penitenciário,1,"3,00","0,00%","33,33%",00:03:33,"2,00"
Edital anterior,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Edital areal,1,"2,00","0,00%","0,00%",00:00:34,"1,00"
Edital auditor fiscal do trabalho,1,"3,00","0,00%","33,33%",00:02:36,"2,00"
Edital auditor fiscal do trabalho mte,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital auxiliar de necropia,1,"2,00","0,00%","50,00%",00:01:21,"4,00"
Edital auxiliar de necropsia,1,"8,00","0,00%","0,00%",00:19:38,"11,00"
edital auxiliar de necropsia 2002,1,"4,00","0,00%","25,00%",00:02:23,"2,00"
Edital bacen,1,"4,00","0,00%","25,00%",00:00:37,"2,00"
edital cabo frio,1,"2,00","0,00%","50,00%",00:04:26,"1,00"
EDITAL CAMPINAS,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital civil 2019,1,"1,00","0,00%","0,00%",00:00:24,"2,00"
edital comlurb 2019,1,"2,00","0,00%","0,00%",00:06:35,"12,00"
Edital Comlurb 2019,1,"2,00","0,00%","0,00%",00:01:03,"1,00"
Edital concurso 29/05/2019,1,"1,00","0,00%","100,00%",00:00:18,"0,00"
Edital concurso auxiliar de necropsia,1,"2,00","0,00%","0,00%",00:05:01,"8,00"
Edital concurso Betim MG,1,"2,00","0,00%","0,00%",00:00:13,"1,00"
Edital concurso colegio pedro 2,1,"2,00","0,00%","50,00%",00:00:30,"0,00"
Edital concurso colegio pedro 2 2019,1,"2,00","0,00%","50,00%",00:02:04,"0,00"
Edital concurso de Silva Jardim,1,"1,00","0,00%","0,00%",00:06:38,"2,00"
Edital concurso público 2009 polícia civil,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital concurso ufrj,1,"2,00","0,00%","50,00%",00:00:31,"0,00"
edital concurso ufrj 2019,1,"2,00","0,00%","50,00%",00:00:38,"0,00"
Edital confere,1,"2,00","0,00%","0,00%",00:13:10,"16,00"
Edital da Comlurb 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital da guarda municipal de bh,1,"2,00","0,00%","0,00%",00:00:59,"2,00"
Edital da pmrj,1,"2,00","0,00%","0,00%",00:03:19,"11,00"
Edital da policia Civil,1,"2,00","0,00%","0,00%",00:01:42,"2,00"
Edital da polícia militar,1,"1,00","0,00%","100,00%",00:01:10,"0,00"
Edital da polícia militar RJ,1,"2,00","0,00%","0,00%",00:00:31,"1,00"
Edital da prova,1,"4,00","0,00%","0,00%",00:02:22,"2,00"
Edital da prova de 2014 PMRJ,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital da sanasa,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
Edital da sanasa 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital da semsa,1,"3,00","0,00%","0,00%",00:02:39,"3,00"
Edital de agente de educação,1,"5,00","0,00%","0,00%",00:01:46,"2,00"
Edital de agentender de educação,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
Edital de aprovados no concurso sesa/ap 2012,1,"2,00","0,00%","0,00%",00:07:19,"4,00"
Edital de aux de necropsia,1,"2,00","0,00%","0,00%",00:03:14,"5,00"
Edital de betim,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital de concurso do ano 2000,1,"4,00","100,00%","0,00%",00:01:00,"0,00"
Edital de necrópsia,1,"3,00","100,00%","0,00%",00:01:15,"0,00"
edital de oficial de marinha 2018,1,"2,00","0,00%","50,00%",00:00:51,"0,00"
edital de resultados,1,"3,00","100,00%","0,00%",00:01:55,"0,00"
Edital de riodasostras,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital de Silva Jardim,1,"1,00","0,00%","0,00%",00:01:01,"1,00"
edital de tjam,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
EDITAL DETRAN SP,1,"2,00","0,00%","50,00%",00:00:12,"0,00"
Edital do concurso,1,"1,00","0,00%","0,00%",00:33:34,"14,00"
Edital do concurso da prefeitura da cidade do Recife 2008,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital do concurso da semsa,1,"2,00","0,00%","0,00%",00:01:51,"1,00"
edital do concurso da uni rio,1,"2,00","0,00%","50,00%",00:01:34,"0,00"
Edital do concurso de necropsia,1,"2,00","0,00%","50,00%",00:00:24,"1,00"
edital do concurso para professor adjunto,1,"1,00","0,00%","0,00%",00:00:44,"1,00"
EDITAL DO CONCURSO PÚBLICO DE PROFESSOR ADJUNTO DO RIO DE JANEIRO,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Edital do concurso público para ti ce,1,"2,00","0,00%","50,00%",00:00:12,"0,00"
Edital do concurso público para tj ce,1,"2,00","0,00%","0,00%",00:01:34,"2,00"
Edital do concurso técnico em necropsia,1,"2,00","0,00%","50,00%",00:00:51,"0,00"
Edital do concurso técnico em necropsia polícia civil,1,"2,00","0,00%","0,00%",00:11:19,"17,00"
edital do concurso tj am,1,"4,00","100,00%","0,00%",00:02:51,"0,00"
edital do ibge,1,"2,00","0,00%","0,00%",00:00:38,"1,00"
Edital do tribunal de justiça do Rio de janeiro,1,"6,00","0,00%","0,00%",00:00:47,"3,00"
Edital do ultimo concurso ibge para recenciador,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital IBGE,1,"2,00","0,00%","0,00%",00:00:12,"1,00"
EDITAL IBGE,1,"4,00","0,00%","0,00%",00:05:08,"11,00"
Edital ibge 2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
edital inspetor de policia civil 2012,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital p concurso sapezal mt,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital para diplomata,1,"2,00","0,00%","0,00%",00:04:51,"1,00"
Edital para o concurso público inns 2019,1,"2,00","0,00%","0,00%",00:00:13,"1,00"
Edital para pcrj auxiliar de necropsia,1,"2,00","0,00%","50,00%",00:00:06,"0,00"
Edital para tecnico de necropsisa,1,"1,00","0,00%","0,00%",00:00:47,"1,00"
edital para técnico em necropsia,1,"1,00","0,00%","0,00%",00:01:12,"2,00"
Edital pc rj,1,"1,00","0,00%","0,00%",00:02:44,"3,00"
Edital PC rj,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Edital pef,1,"5,00","0,00%","20,00%",00:01:42,"2,00"
Edital PEF,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
edital perito policia civil rj,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital pge rj,1,"4,00","100,00%","0,00%",00:01:21,"3,00"
Edital PM rj,1,"4,00","100,00%","0,00%",00:03:47,"0,00"
Edital PM RJ simulado,1,"2,00","0,00%","0,00%",00:00:54,"2,00"
edital pm-sp,1,"2,00","0,00%","0,00%",00:00:25,"1,00"
Edital pmerj,1,"3,00","100,00%","0,00%",00:00:02,"0,00"
Edital pmerj 2014,1,"4,00","0,00%","0,00%",00:01:20,"2,00"
Edital PMERJ 2019,1,"1,00","0,00%","100,00%",00:04:27,"17,00"
Edital pmpe 19,1,"2,00","0,00%","50,00%",00:00:52,"1,00"
Edital Polícia civil 2009,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Edital Polícia Civil 2012,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital policia civil rj,1,"1,00","0,00%","100,00%",00:00:21,"0,00"
Edital polícia civil RJ 2019,1,"2,00","0,00%","0,00%",00:01:04,"2,00"
Edital polícia Civil RJ 2019,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
edital polícia civil rn,1,"7,00","0,00%","0,00%",00:04:13,"14,00"
edital prefeitura de betim mg 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital prefeitura de rio bonito,1,"4,00","0,00%","0,00%",00:00:57,"5,00"
Edital prefeitura do rio,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Edital PRF,1,"3,00","0,00%","0,00%",00:06:36,"6,00"
edital processo seletivo niterói,1,"2,00","0,00%","0,00%",00:00:12,"2,00"
Edital prova oficial de justiça do Rio de Janeiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital radiologia médicas,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital retificado concurso publico nova modica,1,"2,00","0,00%","0,00%",00:00:17,"1,00"
Edital santa Luzia,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Edital senar,1,"2,00","0,00%","50,00%",00:00:38,"0,00"
Edital senar rio,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital silva jardim,1,"2,00","0,00%","0,00%",00:07:38,"6,00"
edital tcm,1,"4,00","0,00%","25,00%",00:00:27,"1,00"
edital tcm rio,1,"2,00","0,00%","0,00%",00:00:31,"3,00"
Edital tcmrj 2016,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Edital tec necropsia 2009,1,"4,00","0,00%","0,00%",00:16:01,"12,00"
Edital tecn.necropsia,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Edital técnico de necropsia,1,"9,00","100,00%","0,00%",00:03:22,"1,00"
Edital técnico em necro,1,"4,00","0,00%","25,00%",00:01:08,"0,00"
edital tj pr,1,"11,00","100,00%","0,00%",00:04:17,"0,00"
edital tj-ce,1,"2,00","0,00%","50,00%",00:00:36,"3,00"
Edital tjce,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Edital tjpa2014,1,"3,00","0,00%","0,00%",00:01:06,"3,00"
edital TRE/PA,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
edital ufcg 2019,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
edital unirio,1,"2,00","0,00%","50,00%",00:09:56,"2,00"
Edital unirio,1,"2,00","0,00%","50,00%",00:08:28,"18,00"
EDITAL VERTICAL,1,"3,00","0,00%","33,33%",00:14:54,"9,00"
Edital Verticalizado de auxiliar tecnico de educação,1,"2,00","0,00%","50,00%",00:00:26,"1,00"
edital verticalizado unirio,1,"4,00","100,00%","0,00%",00:00:42,"0,00"
edro II,1,"2,00","0,00%","50,00%",00:12:12,"0,00"
Edtial caixa 2014,1,"6,00","100,00%","0,00%",00:00:42,"0,00"
educa,1,"2,00","0,00%","50,00%",00:00:25,"0,00"
educacao,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Educaçao,1,"1,00","0,00%","0,00%",00:01:42,"3,00"
educação fisica,1,"1,00","0,00%","0,00%",00:00:40,"2,00"
Educação Fisica,1,"2,00","0,00%","50,00%",00:33:00,"11,00"
Educação Física,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Educação infantil,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
educação nova iguaçu,1,"5,00","0,00%","20,00%",00:00:21,"2,00"
educação professor adjunto,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
educação-pb,1,"2,00","0,00%","0,00%",00:28:16,"5,00"
educador fisico,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
EDUCADOR II,1,"1,00","0,00%","0,00%",00:15:06,"6,00"
Eeaar,1,"2,00","0,00%","0,00%",00:14:06,"11,00"
effomm,1,"2,00","0,00%","50,00%",00:00:11,"0,00"
efomm,1,"2,00","0,00%","0,00%",00:00:05,"1,00"
efomm 2007,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
eletricista predial,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
eletronuclear,1,"2,00","0,00%","50,00%",00:00:42,"0,00"
Eli,1,"1,00","0,00%","100,00%",00:00:24,"0,00"
Eliane Gomes de santana,1,"10,00","0,00%","0,00%",00:14:53,"4,00"
elo,1,"2,00","0,00%","0,00%",00:00:56,"7,00"
Em um bom concurso,1,"2,00","0,00%","0,00%",00:02:08,"4,00"
emater,1,"3,00","0,00%","33,33%",00:00:59,"0,00"
emater mg,1,"1,00","0,00%","0,00%",00:00:39,"2,00"
embasa 2019,1,"2,00","0,00%","50,00%",00:13:18,"6,00"
embu,1,"1,00","0,00%","0,00%",00:01:06,"2,00"
EMPREGO,1,"2,00","0,00%","0,00%",00:00:47,"4,00"
Emprego rio de Janeiro,1,"4,00","100,00%","0,00%",00:01:51,"0,00"
Empresa contrata trabalhar em Hospitais,1,"3,00","100,00%","0,00%",00:00:37,"0,00"
Empresa de pesquisa energética,1,"4,00","0,00%","25,00%",00:00:53,"2,00"
Endereço,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
Endereço do local de prova no Rio de Janeiro em realemgo,1,"2,00","0,00%","0,00%",00:01:26,"2,00"
ENE,1,"2,00","0,00%","50,00%",00:00:20,"0,00"
Enel,1,"2,00","0,00%","0,00%",00:03:40,"8,00"
Enem,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
ENEM,1,"3,00","100,00%","33,33%",00:00:35,"2,00"
ENEM 2019,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
enfer,1,"14,00","0,00%","0,00%",00:04:12,"4,00"
enfermagem pe,1,"2,00","0,00%","0,00%",00:00:55,"2,00"
enfermagem rj,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
enfermeiro 2016,1,"2,00","0,00%","50,00%",00:00:38,"0,00"
enfermeiro 2018,1,"1,00","0,00%","100,00%",00:00:08,"0,00"
enfermeiro 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Enfermeiro ESF,1,"11,00","100,00%","0,00%",00:05:45,"10,00"
Enfermeiro exército,1,"2,00","0,00%","50,00%",00:00:35,"0,00"
Enfermeiro oficial,1,"3,00","100,00%","0,00%",00:01:31,"2,00"
enfermeiro oficial do exercito,1,"1,00","0,00%","0,00%",00:00:17,"1,00"
Enfermeiros e técnicos de enfermagem,1,"2,00","0,00%","50,00%",00:01:02,"1,00"
engenaharia civil,1,"1,00","0,00%","100,00%",00:00:08,"0,00"
engenh,1,"1,00","0,00%","100,00%",00:00:24,"0,00"
engenharia 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Engenharia Civil,1,"1,00","0,00%","100,00%",00:07:41,"0,00"
engenharia civil 2019,1,"1,00","0,00%","100,00%",00:00:19,"0,00"
engenharia mecânica,1,"1,00","0,00%","0,00%",00:00:24,"2,00"
Engenharia mecânica,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Engenharia Química,1,"5,00","0,00%","20,00%",00:16:54,"0,00"
engenheiria,1,"2,00","0,00%","50,00%",00:00:08,"0,00"
engenheiro ambiental,1,"3,00","0,00%","33,33%",00:00:26,"0,00"
Engenheiro ambiental,1,"2,00","0,00%","50,00%",00:00:16,"0,00"
Engenheiro Civil,1,"6,00","100,00%","0,00%",00:01:16,"0,00"
engenheiro de segurança,1,"2,00","0,00%","0,00%",00:00:43,"2,00"
engenheiro de segurança do trabalho,1,"1,00","0,00%","0,00%",00:16:08,"11,00"
Engenheiro de Segurança do Trabalho,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
engenheiro eletricista,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
engenheiro eletrico,1,"2,00","0,00%","0,00%",00:00:28,"2,00"
Engenheiro mecanico,1,"4,00","100,00%","0,00%",00:01:38,"4,00"
Engenheiro mecânico,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Engenheiro Paulo de Frontin,1,"2,00","0,00%","50,00%",00:02:43,"0,00"
Engenheiro Paulo de Frontin rj,1,"5,00","0,00%","20,00%",00:01:17,"0,00"
Engenheiro Químico,1,"2,00","0,00%","50,00%",00:07:16,"16,00"
engermagem,1,"2,00","0,00%","50,00%",00:01:09,"1,00"
Enjere-se,1,"2,00","0,00%","50,00%",00:00:32,"0,00"
Ensino fundamental,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
ensino fundamental 2019,1,"2,00","0,00%","0,00%",00:00:26,"2,00"
ensino médio,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
entrar,1,"1,00","0,00%","0,00%",00:00:53,"8,00"
Entrar na área do candidato,1,"1,00","0,00%","100,00%",00:01:46,"0,00"
Entrar na área do candidato1234,1,"1,00","0,00%","100,00%",00:00:39,"0,00"
Entrevista necropsia,1,"2,00","0,00%","50,00%",00:00:24,"0,00"
Entrevista queimados,1,"2,00","0,00%","50,00%",00:02:39,"1,00"
Epcar 2019,1,"2,00","0,00%","0,00%",00:00:54,"1,00"
Epe,1,"4,00","100,00%","25,00%",00:00:18,"0,00"
EPE,1,"2,00","0,00%","0,00%",00:08:06,"3,00"
Erea de trabalho,1,"7,00","100,00%","0,00%",00:01:12,"0,00"
es,1,"3,00","100,00%","0,00%",00:00:18,"0,00"
Es,1,"2,00","0,00%","0,00%",00:00:59,"1,00"
Esa 2019,1,"2,00","0,00%","0,00%",00:13:26,"3,00"
ESA mgjf,1,"1,00","0,00%","0,00%",00:01:16,"1,00"
escfex,1,"2,00","0,00%","50,00%",00:00:21,"0,00"
escola de sargentos,1,"1,00","0,00%","100,00%",00:00:12,"0,00"
Escola municipal,1,"7,00","100,00%","14,29%",00:05:01,"0,00"
escola naval,1,"4,00","0,00%","25,00%",00:04:09,"7,00"
Escola naval mulher 18 anos,1,"1,00","0,00%","0,00%",00:00:09,"1,00"
escola técnica rj,1,"2,00","0,00%","0,00%",00:03:48,"7,00"
escolas militares,1,"2,00","0,00%","0,00%",00:00:32,"2,00"
escrevente 6ª região,1,"1,00","0,00%","0,00%",00:06:11,"2,00"
escrevente ribeirão preto,1,"1,00","0,00%","100,00%",00:00:26,"0,00"
Escrevente técnico judiciário,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
escrevente TJ SP,1,"2,00","100,00%","0,00%",00:01:27,"1,00"
Escrevente TJ SP,1,"4,00","100,00%","0,00%",00:03:38,"0,00"
Escrição concurso público de Sapucaia,1,"2,00","0,00%","50,00%",00:02:16,"0,00"
Escrição concurso público de Sapucaia Sapucaia,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Escrisao o valor,1,"2,00","0,00%","0,00%",00:06:14,"1,00"
escrivã,1,"2,00","0,00%","0,00%",00:08:12,"13,00"
Escrivão polícia civil,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
ESF,1,"4,00","0,00%","25,00%",00:07:44,"10,00"
ESFCEX 2012,1,"4,00","100,00%","0,00%",00:00:12,"0,00"
esfecex,1,"2,00","0,00%","50,00%",00:00:03,"0,00"
Esfecex,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
ESFECEX,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
esfsex,1,"1,00","0,00%","100,00%",00:00:08,"0,00"
EsPCEx,1,"2,00","0,00%","0,00%",00:00:30,"3,00"
espcexl,1,"2,00","0,00%","50,00%",00:00:05,"0,00"
Especex,1,"2,00","0,00%","50,00%",00:00:10,"0,00"
especial,1,"2,00","0,00%","50,00%",00:01:20,"1,00"
Espelho,1,"2,00","0,00%","0,00%",00:01:23,"1,00"
Espelho da prova,1,"1,00","0,00%","0,00%",00:02:17,"2,00"
Espetoura de aluno,1,"1,00","0,00%","0,00%",00:07:13,"4,00"
Espex,1,"2,00","0,00%","0,00%",00:04:10,"7,00"
Espirito santo,1,"5,00","0,00%","0,00%",00:02:16,"6,00"
espírito santo,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
essa,1,"2,00","0,00%","0,00%",00:00:07,"2,00"
esSa,1,"3,00","0,00%","33,33%",00:04:24,"2,00"
essex,1,"2,00","0,00%","0,00%",00:00:08,"2,00"
Está 2019,1,"2,00","0,00%","50,00%",00:00:14,"0,00"
Estado do Rio,1,"3,00","0,00%","33,33%",00:01:50,"2,00"
Estado do Rio câmara,1,"1,00","0,00%","100,00%",00:00:06,"0,00"
Estado do Rio convocação,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
Estado do Rio nível fundamental,1,"2,00","0,00%","50,00%",00:00:07,"0,00"
Estados que vão ter concurso IBGE,1,"6,00","0,00%","0,00%",00:02:08,"1,00"
Estadual,1,"1,00","0,00%","0,00%",00:00:07,"2,00"
estágio,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Estágio,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
ESTÁGIO,1,"4,00","100,00%","0,00%",00:00:21,"0,00"
Estágio de direito,1,"2,00","0,00%","0,00%",00:00:16,"1,00"
Estágio de direito RJ,1,"2,00","0,00%","50,00%",00:01:02,"2,00"
Estágio forense,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
estatístico,1,"2,00","0,00%","50,00%",00:11:13,"0,00"
Estatutario,1,"2,00","0,00%","50,00%",00:01:39,"4,00"
Estatutário,1,"4,00","0,00%","25,00%",00:00:36,"0,00"
Estatuto geral,1,"2,00","0,00%","50,00%",00:00:14,"0,00"
Estatuto geral guarda,1,"1,00","0,00%","0,00%",00:02:45,"14,00"
Este trecho é parte de um conteúdo que pode ser compartide intelectual.,1,"2,00","0,00%","50,00%",00:00:22,"0,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: http://folhadirigida.com.br/concursos/prefeitura-rio/sms-rj-2019-diversos-cargos ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade intelectual.",1,"1,00","0,00%","0,00%",00:07:45,"29,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: http://folhadirigida.com.br/servidor/tudo-o-que-voce-precisa-saber-sobre-cargos-em-comissao-e-funcoes-de-confianca ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade intelectual.",1,"2,00","0,00%","50,00%",00:15:17,"2,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: https://folhadirigida.com.br/edicoes-digitais/edicoes-regulares/edicao-2777 ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade intelectual.",1,"3,00","0,00%","33,33%",00:08:57,"25,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: https://folhadirigida.com.br/noticias/concurso/candeias-ba/concurso-candeias-ba-com-189-vagas-e-suspenso-temporariamente ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade intelectual",1,"2,00","0,00%","50,00%",00:01:13,"2,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: https://folhadirigida.com.br/noticias/concurso/colegio-pedro-ii/concurso-pedro-ii-conheca-o-cargo-de-assistente-em-administracao ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade intelectual.",1,"1,00","0,00%","100,00%",00:00:12,"0,00"
"Este trecho é parte de um conteúdo que pode ser compartilhado utilizando o link do site: https://folhadirigida.com.br/noticias/concurso/exercito-brasileiro/concurso-espcex-professor-da-dicas-e-traca-o-perfil-da-prova ou através ferramentas oferecidas na página. Textos da Folha Dirigida estão protegidos de acordo com seu direito autoral. Não reproduza o conteúdo da empresa, em qualquer meio de comunicação, eletrônico ou impresso, sem a devida referência de autoria. Essas regras têm como objetivo proteger o investimento que a Folha Dirigida faz em sua propriedade",1,"1,00","0,00%","100,00%",00:02:54,"2,00"
